Date,Open,High,Low,Close,Adj Close,Volume
10/13/2017,3535.73999,3536.899902,3513.610107,3520.560059,3520.560059,0
10/16/2017,3533.840088,3575.629883,3515.810059,3527.23999,3527.23999,0
10/17/2017,3533.810059,3552.679932,3525.100098,3541.949951,3541.949951,0
10/18/2017,3554.75,3561.030029,3514.040039,3516.600098,3516.600098,0
10/19/2017,3511.73999,3527.629883,3482.25,3509.639893,3509.639893,0
10/20/2017,3480.149902,3487.709961,3451.389893,3472.320068,3472.320068,0
10/23/2017,3474.830078,3475.459961,3429.590088,3431.77002,3431.77002,0
10/24/2017,3434.179932,3434.969971,3372.26001,3403.780029,3403.780029,0
10/25/2017,3400.780029,3406.419922,3347.070068,3367.860107,3367.860107,0
10/26/2017,3289.709961,3322.169922,3267.969971,3291.22998,3291.22998,0
10/27/2017,3276.030029,3317.169922,3262.850098,3313.429932,3313.429932,0
10/30/2017,3312.72998,3346.73999,3295.459961,3315.320068,3315.320068,0
10/31/2017,3323.280029,3333.659912,3277.320068,3290.050049,3290.050049,0
11/1/2017,3310.820068,3314.48999,3263.97998,3269.090088,3269.090088,0
11/2/2017,3278.280029,3296.629883,3255.409912,3269.030029,3269.030029,0
11/3/2017,3267.320068,3320.820068,3267.320068,3320.330078,3320.330078,0
11/6/2017,3319.25,3331.860107,3304,3304.560059,3304.560059,0
11/7/2017,3305.100098,3309.649902,3278.889893,3289.73999,3289.73999,0
11/8/2017,3301.469971,3318.199951,3267.209961,3276.110107,3276.110107,0
11/9/2017,3252.459961,3265.669922,3226.580078,3258.879883,3258.879883,0
11/10/2017,3250.129883,3273.459961,3232.72998,3270.52002,3270.52002,0
11/13/2017,3260.72998,3263.040039,3238.330078,3246.719971,3246.719971,0
11/14/2017,3236.439941,3237.290039,3165.159912,3195.780029,3195.780029,0
11/15/2017,3182.75,3222.52002,3163.969971,3207.040039,3207.040039,0
11/16/2017,3217.97998,3259.090088,3213.23999,3254.889893,3254.889893,0
11/17/2017,3247.530029,3263.77002,3238.810059,3258.189941,3258.189941,0
11/20/2017,3261.939941,3262.169922,3224.040039,3227.26001,3227.26001,0
11/21/2017,3237.26001,3259.429932,3236.050049,3254.100098,3254.100098,0
11/22/2017,3260.389893,3274.389893,3257.820068,3270.840088,3270.840088,0
11/24/2017,3275.310059,3282.719971,3266.070068,3273.350098,3273.350098,0
11/27/2017,3277.409912,3283.719971,3245.959961,3251.76001,3251.76001,0
11/28/2017,3263.090088,3263.679932,3229.97998,3260.47998,3260.47998,0
11/29/2017,3266.590088,3296.679932,3242.389893,3257.939941,3257.939941,0
11/30/2017,3272.679932,3309.919922,3272.330078,3307.850098,3307.850098,0
12/1/2017,3301,3338.320068,3248.300049,3316.340088,3316.340088,0
12/4/2017,3337.72998,3357.560059,3260.070068,3262.389893,3262.389893,0
12/5/2017,3263.639893,3300.330078,3241.429932,3244.600098,3244.600098,0
12/6/2017,3243.629883,3250.459961,3190.050049,3224.310059,3224.310059,0
12/7/2017,3243.810059,3280.860107,3223.419922,3269.830078,3269.830078,0
12/8/2017,3294.050049,3344.689941,3293.429932,3338.699951,3338.699951,0
12/11/2017,3368.360107,3371.050049,3324.379883,3338.080078,3338.080078,0
12/12/2017,3336.360107,3337.320068,3308.129883,3321.51001,3321.51001,0
12/13/2017,3325.949951,3368.659912,3322.75,3353.280029,3353.280029,0
12/14/2017,3362.060059,3366.550049,3292.419922,3301.159912,3301.159912,0
12/15/2017,3306.629883,3347.219971,3295.280029,3346.719971,3346.719971,0
12/18/2017,3365.149902,3371.110107,3337.409912,3340.379883,3340.379883,0
